,package_id,created_at,source_system,data_source,status,operation_type,version_tag,note,log,extract_status,extract_start,extract_end,extract_rows,extract_hash,transform_status,transform_start,transform_end,transform_rows,transform_hash,load_status,load_start,load_end,load_rows,load_hash,extract_minutes,transform_minutes,load_minutes
16,92,2025-12-14 20:38:19.081557,NCBI,dbsnp_chr6,running,running,,,,pending,,,,,pending,,,,,running,2025-12-14 20:38:19.119724,,,2b656149c86f27edd02ec231fbbf0cb4,,,
17,91,2025-12-14 20:22:00.497338,NCBI,dbsnp_chr5,running,running,,,,pending,,,,,pending,,,,,running,2025-12-14 20:22:00.533792,,,f7082da928d66bf24c3694a48213add4,,,
18,90,2025-12-14 04:15:39.725309,NCBI,dbsnp_chr7,running,running,,,,pending,,,,,completed,2025-12-14 04:15:40.054663,2025-12-14 22:58:12.906719,,e3185931e6159b31bdf3f50f55973ff3,pending,,,,,,1122.5475342666666,
19,89,2025-12-14 03:58:34.456954,NCBI,dbsnp_chr8,running,running,,,,pending,,,,,completed,2025-12-14 03:58:34.673533,2025-12-14 21:42:07.732675,,2ce6dd8b7b4c844d90ec917eb2743fed,pending,,,,,,1063.5509857,
20,88,2025-12-14 02:00:07.731044,NCBI,dbsnp_chr8,running,running,,,,completed,2025-12-14 02:00:08.128554,2025-12-14 03:58:34.150768,,2ce6dd8b7b4c844d90ec917eb2743fed,pending,,,,,pending,,,,,118.43370356666667,,
21,87,2025-12-14 01:59:53.901995,NCBI,dbsnp_chr7,running,running,,,,completed,2025-12-14 01:59:54.859569,2025-12-14 04:15:39.604069,,e3185931e6159b31bdf3f50f55973ff3,pending,,,,,pending,,,,,135.74574166666667,,
22,86,2025-12-14 00:20:00.847546,NCBI,dbsnp_chr5,running,running,,,,pending,,,,,completed,2025-12-14 00:20:00.894334,2025-12-14 20:22:00.429866,,f7082da928d66bf24c3694a48213add4,pending,,,,,,1201.9922588666666,
23,85,2025-12-14 00:16:48.973588,NCBI,dbsnp_chr6,running,running,,,,pending,,,,,completed,2025-12-14 00:16:49.078579,2025-12-14 20:38:19.047399,,2b656149c86f27edd02ec231fbbf0cb4,pending,,,,,,1221.4994803333332,
24,84,2025-12-13 22:53:41.950126,NCBI,dbsnp_chr6,running,running,,,,completed,2025-12-13 22:53:42.212450,2025-12-14 00:16:48.905348,,2b656149c86f27edd02ec231fbbf0cb4,pending,,,,,pending,,,,,83.11154830000001,,
25,83,2025-12-13 22:53:24.686327,NCBI,dbsnp_chr5,running,running,,,,completed,2025-12-13 22:53:24.902030,2025-12-14 00:20:00.785427,,f7082da928d66bf24c3694a48213add4,pending,,,,,pending,,,,,86.59805661666665,,
26,82,2025-12-13 22:53:04.373134,NCBI,dbsnp_chr4,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 22:53:04.799153,2025-12-15 01:08:00.379724,,2096a2fab47a899d633eb35d4b11c8e5,,,1574.92634285
27,81,2025-12-13 22:52:29.245646,NCBI,dbsnp_chr3,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 22:52:29.903926,2025-12-15 07:43:45.721373,,dbf879c425df6109480e4833ee36089e,,,1971.2636241166665
28,80,2025-12-13 09:47:42.964537,MONDO,mondo_relationships,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 09:47:42.977090,2025-12-13 09:56:33.408226,,,,,8.840518933333334
29,79,2025-12-13 09:47:42.923240,MONDO,mondo_relationships,running,running,,,,pending,,,,,completed,2025-12-13 09:47:42.940118,2025-12-13 09:47:42.950443,,,pending,,,,,,0.00017208333333333336,
30,78,2025-12-13 09:47:42.875935,MONDO,mondo_relationships,running,running,,,,completed,2025-12-13 09:47:42.904949,2025-12-13 09:47:42.913973,,,pending,,,,,pending,,,,,0.00015040000000000002,,
31,77,2025-12-13 09:30:43.307113,BioGRID,biogrid,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 09:30:43.330046,2025-12-13 09:47:42.844820,,417cc739435e6f2d10b3e351372ea35bed9ff11e0d16dda0de6bbd5060e46e35,,,16.9919129
32,76,2025-12-13 09:25:34.332335,BioGRID,biogrid,running,running,,,,pending,,,,,completed,2025-12-13 09:25:34.360020,2025-12-13 09:30:43.255111,,417cc739435e6f2d10b3e351372ea35bed9ff11e0d16dda0de6bbd5060e46e35,pending,,,,,,5.148251516666666,
33,75,2025-12-13 09:24:53.685556,BioGRID,biogrid,running,running,,,,completed,2025-12-13 09:24:53.751875,2025-12-13 09:25:34.315252,,417cc739435e6f2d10b3e351372ea35bed9ff11e0d16dda0de6bbd5060e46e35,pending,,,,,pending,,,,,0.6760562833333333,,
34,74,2025-12-13 05:24:50.455234,NCBI,dbsnp_chr2,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 05:24:50.477270,2025-12-14 00:27:13.428307,,0ec7a9c832450819984ebbd43ca5fcd1,,,1142.3825172833335
35,73,2025-12-13 03:07:38.677899,UniProt,uniprot_relationships,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 03:07:38.729384,2025-12-13 09:24:53.644612,,,,,377.2485871333334
36,72,2025-12-13 03:07:38.610508,UniProt,uniprot_relationships,running,running,,,,pending,,,,,completed,2025-12-13 03:07:38.630171,2025-12-13 03:07:38.642182,,,pending,,,,,,0.00020018333333333334,
37,71,2025-12-13 03:07:38.553860,UniProt,uniprot_relationships,running,running,,,,completed,2025-12-13 03:07:38.581531,2025-12-13 03:07:38.595335,,,pending,,,,,pending,,,,,0.00023006666666666668,,
38,70,2025-12-13 02:06:20.759949,NCBI,dbsnp_chr1,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 02:06:20.776466,2025-12-13 16:39:57.230788,,cbddf8bbb56e1a8ee106c320fce7468b,,,873.6075720333333
39,69,2025-12-13 01:19:38.523828,Reactome,reactome_relationships,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-13 01:19:38.550564,2025-12-13 03:07:38.512702,,,,,107.99936896666667
40,68,2025-12-13 01:19:38.451145,Reactome,reactome_relationships,running,running,,,,pending,,,,,completed,2025-12-13 01:19:38.480403,2025-12-13 01:19:38.489785,,,pending,,,,,,0.00015636666666666665,
41,67,2025-12-13 01:19:38.044766,Reactome,reactome_relationships,running,running,,,,completed,2025-12-13 01:19:38.380393,2025-12-13 01:19:38.418232,,,pending,,,,,pending,,,,,0.00063065,,
42,66,2025-12-12 21:41:47.447327,EBI,gwas,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 21:41:47.845456,2025-12-12 21:56:12.724327,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,14.41464785
43,65,2025-12-12 21:18:56.276062,EBI,gwas,failed,running,,,"{""error"": ""\u274c Error inserting records: (psycopg2.ProgrammingError) named cursor isn't valid anymore\n(Background on this error at: https://sqlalche.me/e/20/f405)"", ""step"": ""load""}",pending,,,,,pending,,,,,failed,2025-12-12 21:18:57.013506,2025-12-12 21:36:07.581351,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,17.176130750000002
44,64,2025-12-12 21:16:10.845632,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 21:16:11.335838,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
45,63,2025-12-12 21:10:05.573326,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 21:10:05.956599,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
46,62,2025-12-12 21:02:50.485028,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 21:02:50.889236,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
47,61,2025-12-12 20:58:54.296155,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 20:58:54.761240,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
48,60,2025-12-12 20:56:10.805596,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 20:56:11.437755,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
49,59,2025-12-12 19:43:59.965251,EBI,gwas,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 19:44:00.203311,,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,
50,58,2025-12-12 19:42:58.005417,EBI,gwas,failed,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
51,57,2025-12-12 16:35:00.920403,EBI,gwas,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 16:35:00.938303,2025-12-12 16:41:12.238249,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,,,6.188332433333333
52,56,2025-12-12 16:32:39.983460,EBI,gwas,running,running,,,,pending,,,,,completed,2025-12-12 16:32:40.005242,2025-12-12 16:35:00.898027,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,pending,,,,,,2.3482130833333335,
53,55,2025-12-12 16:32:28.417564,EBI,gwas,running,running,,,,completed,2025-12-12 16:32:29.012081,2025-12-12 16:32:39.943378,,c3bf968563fff7106d9ac7d844bda202ce58adfc491028191cfcf980db2c773d,pending,,,,,pending,,,,,0.18218828333333334,,
54,54,2025-12-12 16:05:40.142367,NCBI,dbsnp_chr3,running,running,,,,pending,,,,,completed,2025-12-12 16:05:40.188317,2025-12-13 12:14:05.595749,,dbf879c425df6109480e4833ee36089e,pending,,,,,,1208.4234572,
55,53,2025-12-12 15:38:43.825942,NCBI,dbsnp_chr4,running,running,,,,pending,,,,,completed,2025-12-12 15:38:43.874997,2025-12-13 09:28:29.744992,,2096a2fab47a899d633eb35d4b11c8e5,pending,,,,,,1069.7644999166666,
56,52,2025-12-12 14:11:37.147967,NCBI,dbsnp_chr4,running,running,,,,completed,2025-12-12 14:11:37.409599,2025-12-12 15:38:43.764534,,2096a2fab47a899d633eb35d4b11c8e5,pending,,,,,pending,,,,,87.10591558333334,,
57,51,2025-12-12 14:11:22.526731,NCBI,dbsnp_chr3,running,running,,,,completed,2025-12-12 14:11:22.860049,2025-12-12 16:05:40.061625,,dbf879c425df6109480e4833ee36089e,pending,,,,,pending,,,,,114.28669293333334,,
58,50,2025-12-12 13:59:56.000389,EBI,gwas,running,running,,,"{""note"": ""load skipped"", ""reason"": ""no transform found""}",pending,,,,,pending,,,,,not-applicable,2025-12-12 13:59:56.021925,2025-12-12 13:59:56.021995,,,,,1.1666666666666666e-06
59,49,2025-12-12 13:59:55.974472,EBI,gwas,running,running,,,"{""error"": ""\u26a0\ufe0f No previous extract package found for 'gwas' to run transform."", ""step"": ""transform""}",pending,,,,,not-applicable,2025-12-12 13:59:55.991567,2025-12-12 13:59:55.991611,,,pending,,,,,,7.333333333333333e-07,
60,48,2025-12-12 13:59:55.575498,EBI,gwas,failed,running,,,,failed,2025-12-12 13:59:55.835660,2025-12-12 13:59:55.958903,,,pending,,,,,pending,,,,,0.00205405,,
61,47,2025-12-12 13:58:34.257526,NCBI,dbsnp_chr2,running,running,,,,running,2025-12-12 13:58:34.583974,,,,pending,,,,,pending,,,,,,,
62,46,2025-12-12 05:50:29.474378,NCBI,dbsnp_chr2,running,running,,,,pending,,,,,completed,2025-12-12 05:50:29.539618,2025-12-13 05:24:50.411411,,0ec7a9c832450819984ebbd43ca5fcd1,pending,,,,,,1414.3478632166666,
63,45,2025-12-12 03:51:01.369143,NCBI,dbsnp_chr2,running,running,,,,completed,2025-12-12 03:51:01.910552,2025-12-12 05:50:29.425576,,0ec7a9c832450819984ebbd43ca5fcd1,pending,,,,,pending,,,,,119.45858373333334,,
64,44,2025-12-12 02:48:36.734476,NCBI,dbsnp_chr1,running,running,,,,pending,,,,,completed,2025-12-12 02:48:36.809119,2025-12-13 02:06:20.737723,,cbddf8bbb56e1a8ee106c320fce7468b,pending,,,,,,1397.7321434,
65,43,2025-12-12 01:10:19.186896,KEGG,kegg_pathways,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 01:10:19.216444,2025-12-12 01:11:26.468974,,1427c6565969a2a391edb4209f4f9644247124fa6571f804a4f4a53364ce3796,,,1.1208755
66,42,2025-12-12 01:10:19.037454,KEGG,kegg_pathways,running,running,,,,pending,,,,,completed,2025-12-12 01:10:19.075989,2025-12-12 01:10:19.127686,,1427c6565969a2a391edb4209f4f9644247124fa6571f804a4f4a53364ce3796,pending,,,,,,0.0008616166666666667,
67,41,2025-12-12 01:10:16.989134,KEGG,kegg_pathways,running,running,,,,completed,2025-12-12 01:10:17.021034,2025-12-12 01:10:19.001906,,1427c6565969a2a391edb4209f4f9644247124fa6571f804a4f4a53364ce3796,pending,,,,,pending,,,,,0.03301453333333333,,
68,40,2025-12-12 01:03:26.827303,NCBI,dbsnp_chr1,running,running,,,,completed,2025-12-12 01:03:27.092137,2025-12-12 02:48:36.670498,,cbddf8bbb56e1a8ee106c320fce7468b,pending,,,,,pending,,,,,105.15963934999999,,
69,39,2025-12-12 01:03:05.866425,Reactome,reactome,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 01:03:05.881685,2025-12-12 01:10:16.941811,,cc4f10eb36dee9b05b97b9aacb687b9da39a0a1204983fcb940730cf49feb7f3,,,7.184335433333334
70,38,2025-12-12 01:03:01.024105,Reactome,reactome,running,running,,,,pending,,,,,completed,2025-12-12 01:03:01.062218,2025-12-12 01:03:05.849488,,cc4f10eb36dee9b05b97b9aacb687b9da39a0a1204983fcb940730cf49feb7f3,pending,,,,,,0.07978783333333334,
71,37,2025-12-12 01:02:42.925456,Reactome,reactome,running,running,,,,completed,2025-12-12 01:02:43.181086,2025-12-12 01:03:00.983269,,cc4f10eb36dee9b05b97b9aacb687b9da39a0a1204983fcb940730cf49feb7f3,pending,,,,,pending,,,,,0.29670304999999997,,
72,36,2025-12-12 01:02:33.556208,EBI,chebi,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 01:02:33.568602,2025-12-12 04:19:38.034336,,c1952a5ff24caca2d1f67d6e2a0a53939907d064b01d8747988c11e42c891c54,,,197.0744289
73,35,2025-12-12 01:02:10.916180,EBI,chebi,running,running,,,,pending,,,,,completed,2025-12-12 01:02:10.956714,2025-12-12 01:02:33.543827,,c1952a5ff24caca2d1f67d6e2a0a53939907d064b01d8747988c11e42c891c54,pending,,,,,,0.3764518833333333,
74,34,2025-12-12 01:02:09.314217,EBI,chebi,running,running,,,,completed,2025-12-12 01:02:09.645662,2025-12-12 01:02:10.878113,,c1952a5ff24caca2d1f67d6e2a0a53939907d064b01d8747988c11e42c891c54,pending,,,,,pending,,,,,0.02054085,,
75,33,2025-12-12 00:19:19.285014,OMIM,omim,failed,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
76,32,2025-12-12 00:19:19.258479,OMIM,omim,failed,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
77,31,2025-12-12 00:19:19.234060,OMIM,omim,failed,running,,,,pending,,,,,pending,,,,,pending,,,,,,,
78,30,2025-12-12 00:19:17.122505,CLINGEN,clingen,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 00:19:17.147860,2025-12-12 00:19:19.214334,,6a0c94cb7d196d4d9d73c669164afa2688980ef7b5c34fa6906815a9c48cd7d4,,,0.034441233333333335
79,29,2025-12-12 00:19:15.792057,CLINGEN,clingen,running,running,,,,pending,,,,,completed,2025-12-12 00:19:15.840010,2025-12-12 00:19:17.095260,,6a0c94cb7d196d4d9d73c669164afa2688980ef7b5c34fa6906815a9c48cd7d4,pending,,,,,,0.020920833333333333,
80,28,2025-12-12 00:19:06.869364,CLINGEN,clingen,running,running,,,,completed,2025-12-12 00:19:06.911978,2025-12-12 00:19:15.750868,,6a0c94cb7d196d4d9d73c669164afa2688980ef7b5c34fa6906815a9c48cd7d4,pending,,,,,pending,,,,,0.1473148333333333,,
81,27,2025-12-12 00:15:06.493231,Ensembl,ensembl,completed,running,,,,pending,,,,,pending,,,,,completed,2025-12-12 00:15:07.026637,2025-12-12 00:18:26.165079,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,,,3.3189740333333333
82,26,2025-12-12 00:02:50.132821,Ensembl,ensembl,running,running,,,,pending,,,,,pending,,,,,running,2025-12-12 00:02:50.616900,,,9817507d585fc3dfe80b83d0c482d46248370b94a55e8ffa8c84e2cfcd081ddd,,,
